epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,2548.95,0.67542,0.35029,0.95638,0.96679,0.96343,0.98235,0.78995,0.78423,0.35461,1.01737,7.5668e-05,7.5668e-05,7.5668e-05
115,2571.32,0.69307,0.35934,0.9668,0.96774,0.9641,0.98342,0.79743,0.76024,0.3447,1.00857,7.20803e-05,7.20803e-05,7.20803e-05
116,2593.61,0.67784,0.35121,0.96213,0.96519,0.96931,0.98283,0.79102,0.7794,0.3453,1.01698,6.85717e-05,6.85717e-05,6.85717e-05
117,2615.97,0.69396,0.3598,0.96876,0.96307,0.96548,0.98218,0.78673,0.78646,0.35095,1.01956,6.51437e-05,6.51437e-05,6.51437e-05
118,2638.37,0.68481,0.34845,0.96194,0.96157,0.96139,0.98139,0.79464,0.76432,0.34829,1.00571,6.1798e-05,6.1798e-05,6.1798e-05
119,2660.55,0.67856,0.35247,0.96013,0.95828,0.97024,0.98255,0.79043,0.77366,0.34982,1.01021,5.85359e-05,5.85359e-05,5.85359e-05
120,2682.95,0.67812,0.352,0.96077,0.96471,0.96274,0.98154,0.79333,0.76087,0.34311,1.00733,5.53588e-05,5.53588e-05,5.53588e-05
121,2705.34,0.66796,0.34735,0.95463,0.95817,0.96475,0.98165,0.79677,0.75362,0.33897,1.00412,5.22683e-05,5.22683e-05,5.22683e-05
122,2727.76,0.66575,0.34373,0.95779,0.96805,0.96326,0.98215,0.793,0.77685,0.34197,1.01667,4.92656e-05,4.92656e-05,4.92656e-05
123,2750.1,0.66287,0.34377,0.95334,0.96672,0.96501,0.98238,0.79636,0.75973,0.3364,1.00678,4.6352e-05,4.6352e-05,4.6352e-05
124,2772.48,0.66141,0.33794,0.95041,0.96484,0.96636,0.98201,0.79258,0.76916,0.34161,1.01073,4.35288e-05,4.35288e-05,4.35288e-05
125,2794.81,0.6731,0.34637,0.96123,0.96697,0.96825,0.98209,0.79026,0.77095,0.34095,1.01274,4.07973e-05,4.07973e-05,4.07973e-05
126,2817.21,0.67176,0.34939,0.95632,0.96664,0.96637,0.98299,0.79005,0.77508,0.34315,1.01316,3.81587e-05,3.81587e-05,3.81587e-05
127,2839.53,0.66974,0.34598,0.95815,0.96427,0.96674,0.98231,0.79323,0.75779,0.33866,1.00522,3.56141e-05,3.56141e-05,3.56141e-05
128,2861.77,0.65671,0.33679,0.95056,0.96439,0.97141,0.98243,0.79923,0.74584,0.33487,1.0006,3.31646e-05,3.31646e-05,3.31646e-05
129,2884.11,0.6671,0.34162,0.96211,0.96708,0.96416,0.98276,0.80291,0.7398,0.3356,0.99813,3.08113e-05,3.08113e-05,3.08113e-05
130,2906.6,0.68079,0.34889,0.9627,0.96536,0.96692,0.98241,0.79421,0.76339,0.33918,1.00936,2.85553e-05,2.85553e-05,2.85553e-05
131,2929.07,0.66662,0.34587,0.95846,0.95819,0.97178,0.98216,0.79665,0.75604,0.33686,1.00606,2.63975e-05,2.63975e-05,2.63975e-05
132,2951.62,0.66113,0.34474,0.9592,0.96429,0.96329,0.98163,0.79574,0.75085,0.33537,1.00295,2.43389e-05,2.43389e-05,2.43389e-05
133,2974.05,0.65939,0.34012,0.95452,0.96665,0.96341,0.98234,0.79598,0.75315,0.33654,1.00404,2.23803e-05,2.23803e-05,2.23803e-05
134,2996.44,0.64187,0.32989,0.94343,0.96636,0.9668,0.98247,0.79866,0.74751,0.33526,1.00098,2.05227e-05,2.05227e-05,2.05227e-05
135,3018.89,0.65897,0.33984,0.95109,0.96662,0.9684,0.98242,0.79569,0.75704,0.33499,1.0075,1.87668e-05,1.87668e-05,1.87668e-05
136,3041.22,0.65433,0.33559,0.95458,0.96751,0.96666,0.98253,0.79874,0.7503,0.33435,1.00568,1.71135e-05,1.71135e-05,1.71135e-05
137,3063.6,0.66602,0.34314,0.95577,0.96756,0.96551,0.9827,0.79789,0.75201,0.33396,1.00688,1.55634e-05,1.55634e-05,1.55634e-05
138,3085.97,0.65459,0.33717,0.95504,0.9641,0.96684,0.98302,0.79986,0.74369,0.33101,1.00177,1.41173e-05,1.41173e-05,1.41173e-05
139,3108.26,0.64708,0.33716,0.95207,0.96663,0.96586,0.98281,0.79685,0.74996,0.33211,1.00433,1.27757e-05,1.27757e-05,1.27757e-05
140,3130.63,0.65428,0.33903,0.95189,0.96777,0.96685,0.98307,0.80035,0.74614,0.33139,1.00366,1.15392e-05,1.15392e-05,1.15392e-05
141,3154.52,0.58309,0.27191,0.90376,0.96051,0.96565,0.98339,0.79444,0.76863,0.34224,1.01996,1.04085e-05,1.04085e-05,1.04085e-05
142,3176.38,0.57219,0.26131,0.89856,0.96242,0.96908,0.98258,0.79531,0.76549,0.34377,1.01984,9.38391e-06,9.38391e-06,9.38391e-06
143,3198.18,0.56634,0.25909,0.89433,0.96376,0.96759,0.98291,0.79627,0.76356,0.34342,1.01745,8.46598e-06,8.46598e-06,8.46598e-06
144,3220.04,0.56242,0.25484,0.89436,0.96341,0.96823,0.98302,0.79826,0.75752,0.3391,1.0137,7.6551e-06,7.6551e-06,7.6551e-06
145,3241.91,0.56759,0.2571,0.89474,0.96234,0.96842,0.98317,0.79776,0.75503,0.33861,1.01259,6.95161e-06,6.95161e-06,6.95161e-06
146,3263.73,0.56775,0.25705,0.89546,0.96363,0.97115,0.98446,0.79898,0.75392,0.33652,1.01185,6.35583e-06,6.35583e-06,6.35583e-06
147,3285.54,0.56369,0.25685,0.89473,0.96449,0.97024,0.98437,0.80046,0.75104,0.33589,1.00991,5.86802e-06,5.86802e-06,5.86802e-06
148,3307.35,0.54751,0.24976,0.88341,0.96391,0.97006,0.98456,0.80053,0.75037,0.33578,1.00956,5.48838e-06,5.48838e-06,5.48838e-06
149,3329.09,0.55717,0.25359,0.89121,0.96323,0.97158,0.98495,0.7988,0.75245,0.33588,1.01037,5.2171e-06,5.2171e-06,5.2171e-06
150,3350.86,0.5566,0.25237,0.89135,0.96181,0.97269,0.98463,0.79979,0.74972,0.335,1.00899,5.05428e-06,5.05428e-06,5.05428e-06
